templateId,canvaDesignTitle,canvaTemplateUrl
bsx-ed-01,BSX-01 Botox 101 How Neurotoxin Works,PLACEHOLDER_CANVA_URL
bsx-ed-02,BSX-02 Forehead vs Frown Lines Guide,PLACEHOLDER_CANVA_URL
bsx-myth-01,BSX-03 Myth vs Fact Frozen Face,PLACEHOLDER_CANVA_URL
bsx-myth-02,BSX-04 Myth vs Fact Too Young for Botox,PLACEHOLDER_CANVA_URL
bsx-consult-01,BSX-05 Botox Consultation Checklist,PLACEHOLDER_CANVA_URL
bsx-consult-02,BSX-06 What to Ask at Your First Visit,PLACEHOLDER_CANVA_URL
bsx-promo-01,BSX-07 New Patient Botox Offer,PLACEHOLDER_CANVA_URL
bsx-promo-02,BSX-08 Limited Spots This Week,PLACEHOLDER_CANVA_URL
bsx-retain-01,BSX-09 When to Rebook Your Botox,PLACEHOLDER_CANVA_URL
bsx-cta-01,BSX-10 Book Your Botox Consultation,PLACEHOLDER_CANVA_URL
