templateId,canvaDesignTitle,canvaTemplateUrl
inj-overview-01,INJ-01 Complete Injector Service Menu,PLACEHOLDER_CANVA_URL
inj-botox-01,INJ-02 Botox Education Spotlight,PLACEHOLDER_CANVA_URL
inj-filler-01,INJ-03 Filler Education Spotlight,PLACEHOLDER_CANVA_URL
inj-myth-01,INJ-04 Injectables Myth vs Fact Carousel Cover,PLACEHOLDER_CANVA_URL
inj-beforeafter-01,INJ-05 Before and After Policy Card,PLACEHOLDER_CANVA_URL
inj-consult-01,INJ-06 Injectables Consultation CTA,PLACEHOLDER_CANVA_URL
inj-promo-01,INJ-07 New Patient Injectables Offer,PLACEHOLDER_CANVA_URL
inj-membership-01,INJ-08 Injectables Membership Highlight,PLACEHOLDER_CANVA_URL
inj-crosssell-01,INJ-09 Botox and Filler Combo Value Post,PLACEHOLDER_CANVA_URL
inj-cta-01,INJ-10 Book Your Injector Appointment,PLACEHOLDER_CANVA_URL
