templateId,canvaDesignTitle,canvaTemplateUrl
gls-how-01,GLS-01 How GLP-1 Works Story,PLACEHOLDER_CANVA_URL
gls-how-02,GLS-02 Week 1 Expectations Story,PLACEHOLDER_CANVA_URL
gls-myth-01,GLS-03 GLP-1 Myth vs Fact Story,PLACEHOLDER_CANVA_URL
gls-myth-02,GLS-04 Weight Loss Timeline Reality Story,PLACEHOLDER_CANVA_URL
gls-support-01,GLS-05 Side Effect Support Story,PLACEHOLDER_CANVA_URL
gls-support-02,GLS-06 Hydration and Protein Reminder Story,PLACEHOLDER_CANVA_URL
gls-milestone-01,GLS-07 Progress Milestone Celebration Story,PLACEHOLDER_CANVA_URL
gls-consult-01,GLS-08 GLP-1 Consultation Story CTA,PLACEHOLDER_CANVA_URL
gls-promo-01,GLS-09 Program Offer Story,PLACEHOLDER_CANVA_URL
gls-cta-01,GLS-10 Book Weight Loss Consult Story,PLACEHOLDER_CANVA_URL
