templateId,canvaDesignTitle,canvaTemplateUrl
ivs-spot-01,IVS-01 Hydration Drip Spotlight Story,PLACEHOLDER_CANVA_URL
ivs-spot-02,IVS-02 Immunity Drip Spotlight Story,PLACEHOLDER_CANVA_URL
ivs-spot-03,IVS-03 Beauty Drip Spotlight Story,PLACEHOLDER_CANVA_URL
ivs-faq-01,IVS-04 IV FAQ How Long Does It Take,PLACEHOLDER_CANVA_URL
ivs-faq-02,IVS-05 IV FAQ How Often Should I Come,PLACEHOLDER_CANVA_URL
ivs-edu-01,IVS-06 How IV Therapy Works Story,PLACEHOLDER_CANVA_URL
ivs-edu-02,IVS-07 Who Is a Good Candidate Story,PLACEHOLDER_CANVA_URL
ivs-promo-01,IVS-08 IV Promo Story,PLACEHOLDER_CANVA_URL
ivs-promo-02,IVS-09 Limited Slots Story,PLACEHOLDER_CANVA_URL
ivs-cta-01,IVS-10 Book IV Session Story CTA,PLACEHOLDER_CANVA_URL
