templateId,canvaDesignTitle,canvaTemplateUrl
prm-offer-01,PRM-01 New Patient Offer Graphic,PLACEHOLDER_CANVA_URL
prm-offer-02,PRM-02 Flash Sale Announcement,PLACEHOLDER_CANVA_URL
prm-offer-03,PRM-03 BOGO or Package Offer,PLACEHOLDER_CANVA_URL
prm-urgency-01,PRM-04 Limited Appointments This Week,PLACEHOLDER_CANVA_URL
prm-urgency-02,PRM-05 Last Chance Promo Reminder,PLACEHOLDER_CANVA_URL
prm-consult-01,PRM-06 Free Consultation CTA,PLACEHOLDER_CANVA_URL
prm-membership-01,PRM-07 Membership Savings Promo,PLACEHOLDER_CANVA_URL
prm-referral-01,PRM-08 Referral Reward Graphic,PLACEHOLDER_CANVA_URL
prm-seasonal-01,PRM-09 Seasonal Offer Spotlight,PLACEHOLDER_CANVA_URL
prm-cta-01,PRM-10 Book Now Action Post,PLACEHOLDER_CANVA_URL
