templateId,canvaDesignTitle,canvaTemplateUrl
mvf-btx-01,MVF-01 Botox Myth vs Fact 01,PLACEHOLDER_CANVA_URL
mvf-btx-02,MVF-02 Botox Myth vs Fact 02,PLACEHOLDER_CANVA_URL
mvf-flr-01,MVF-03 Filler Myth vs Fact 01,PLACEHOLDER_CANVA_URL
mvf-flr-02,MVF-04 Filler Myth vs Fact 02,PLACEHOLDER_CANVA_URL
mvf-iv-01,MVF-05 IV Therapy Myth vs Fact,PLACEHOLDER_CANVA_URL
mvf-glp1-01,MVF-06 GLP-1 Myth vs Fact,PLACEHOLDER_CANVA_URL
mvf-safety-01,MVF-07 Injectables Safety Myth vs Fact,PLACEHOLDER_CANVA_URL
mvf-consult-01,MVF-08 Consultation Myth vs Fact,PLACEHOLDER_CANVA_URL
mvf-engage-01,MVF-09 Ask Us Anything Prompt,PLACEHOLDER_CANVA_URL
mvf-save-01,MVF-10 Save This Educational Post,PLACEHOLDER_CANVA_URL
