templateId,canvaDesignTitle,canvaTemplateUrl
sea-spring-01,SEA-01 Spring Refresh Campaign Post,PLACEHOLDER_CANVA_URL
sea-spring-02,SEA-02 Spring Consultation CTA,PLACEHOLDER_CANVA_URL
sea-summer-01,SEA-03 Summer Prep Treatment Promo,PLACEHOLDER_CANVA_URL
sea-summer-02,SEA-04 Hot Weather Skin Support Post,PLACEHOLDER_CANVA_URL
sea-fall-01,SEA-05 Fall Reset Campaign Post,PLACEHOLDER_CANVA_URL
sea-holiday-01,SEA-06 Holiday Recovery Offer,PLACEHOLDER_CANVA_URL
sea-holiday-02,SEA-07 Gift Card and Membership Push,PLACEHOLDER_CANVA_URL
sea-newyear-01,SEA-08 New Year New You Campaign,PLACEHOLDER_CANVA_URL
sea-newyear-02,SEA-09 January Booking CTA,PLACEHOLDER_CANVA_URL
sea-limited-01,SEA-10 Limited-Time Seasonal Countdown,PLACEHOLDER_CANVA_URL
